<<<<<<<<<<

1. НУ      : Vпр = 120 км/ч , Hа = 200 м , САУ : стаб Углов, Vпр
   Задание : отработка САУ перехода по Hа : 200м --> 600м

Thu Apr 05 14:13:48 2018
  iSOK Time_SPNM     xrK     xrT    rddr    aShG    ShNV     Ha       V      Vpr      Vy     kur        gam        tng        psi        tet        alf      bet     snos       wx       wy       wz      ax1      ay1      az1      Pst         q       Gp      Tnv      Trv     fig         lag      SO HH:MM:SS:MS
   2452  965.720   -5.40  -34.65   12.42   27.60    8.83   602.68  122.62  119.04   -0.13    2.19380   -4.24199   -2.93215  357.52522   -0.21854   -2.360    4.856    0.013   -4.064   -1.417   -0.986    0.275    8.684   -0.495  707.250     68.3   9716.4   8653.2    271.3   42.6974294  39.9473621 0 00:16:05.720
   2453  965.740   -5.40  -34.65   12.42   27.60    8.83   602.68  122.66  119.08   -0.15    2.16408   -4.32451   -2.94970  357.54380   -0.25692   -2.335    4.810    0.013   -4.008   -1.405   -0.986    0.273    8.688   -0.505  707.250     68.4   9716.3   8656.8    270.2   42.6974356  39.9473624 0 00:16:05.740
   2454  965.760   -5.40  -34.65   12.42   27.60    8.84   602.67  122.71  119.12   -0.18    2.13458   -4.40590   -2.96722  357.56270   -0.29516   -2.312    4.763    0.013   -3.951   -1.392   -0.985    0.272    8.692   -0.515  707.251     68.4   9716.3   8660.6    269.0   42.6974417  39.9473628 0 00:16:05.760
   2455  965.780   -7.19  -37.00   11.79   27.54    8.82   602.67  122.75  119.17   -0.20    2.10532   -4.48614   -2.98469  357.58159   -0.33347   -2.288    4.717    0.013   -3.892   -1.379   -0.984    0.269    8.680   -0.524  707.251     68.5   9716.3   8648.6    267.1   42.6974478  39.9473631 0 00:16:05.780
   2456  965.800   -7.19  -37.00   11.79   27.54    8.83   602.67  122.80  119.21   -0.22    2.07630   -4.56520   -3.00213  357.60106   -0.37193   -2.264    4.670    0.013   -3.834   -1.366   -0.983    0.267    8.683   -0.534  707.251     68.5   9716.3   8652.3    266.0   42.6974539  39.9473635 0 00:16:05.800
   2457  965.820   -7.19  -37.00   11.79   27.54    8.83   602.66  122.84  119.26   -0.24    2.04752   -4.64310   -3.01953  357.62082   -0.41023   -2.241    4.623    0.013   -3.776   -1.353   -0.982    0.266    8.687   -0.544  707.252     68.6   9716.3   8656.1    264.8   42.6974601  39.9473638 0 00:16:05.820
   2458  965.840   -7.19  -37.00   11.79   27.54    8.83   602.66  122.89  119.30   -0.27    2.01898   -4.71983   -3.03688  357.64087   -0.44838   -2.218    4.576    0.013   -3.717   -1.340   -0.980    0.264    8.691   -0.554  707.252     68.6   9716.3   8659.8    263.7   42.6974662  39.9473642 0 00:16:05.840
   2459  965.860   -7.19  -37.00   11.79   27.54    8.84   602.65  122.93  119.34   -0.29    1.99068   -4.79537   -3.05420  357.66121   -0.48637   -2.195    4.529    0.013   -3.657   -1.326   -0.979    0.262    8.695   -0.563  707.253     68.7   9716.3   8663.5    262.6   42.6974723  39.9473645 0 00:16:05.860
   2460  965.880   -8.85  -39.35   11.17   27.50    8.83   602.64  122.98  119.39   -0.31    1.96264   -4.86972   -3.07147  357.68184   -0.52422   -2.173    4.481    0.013   -3.595   -1.312   -0.977    0.249    8.689   -0.557  707.253     68.7   9716.3   8655.9    253.2   42.6974785  39.9473649 0 00:16:05.880
   2461  965.900   -8.85  -39.35   11.17   27.50    8.83   602.64  123.02  119.43   -0.34    1.93486   -4.94281   -3.08870  357.70244   -0.56226   -2.150    4.434    0.013   -3.535   -1.298   -0.975    0.258    8.691   -0.581  707.254     68.8   9716.3   8659.5    260.0   42.6974846  39.9473652 0 00:16:05.900
   2462  965.920   -8.85  -39.35   11.17   27.50    8.83   602.63  123.07  119.47   -0.36    1.90733   -5.01469   -3.10588  357.72358   -0.60018   -2.128    4.386    0.013   -3.474   -1.284   -0.974    0.256    8.695   -0.590  707.254     68.8   9716.3   8663.3    258.9   42.6974908  39.9473655 0 00:16:05.920
   2463  965.940   -8.85  -39.35   11.17   27.50    8.84   602.62  123.11  119.52   -0.38    1.88007   -5.08533   -3.12302  357.74500   -0.63796   -2.107    4.339    0.013   -3.412   -1.270   -0.972    0.254    8.698   -0.599  707.255     68.9   9716.3   8667.0    257.9   42.6974969  39.9473659 0 00:16:05.940
   2464  965.960   -8.85  -39.35   11.17   27.50    8.84   602.62  123.16  119.56   -0.40    1.85308   -5.15474   -3.14010  357.76667   -0.67558   -2.085    4.291    0.013   -3.350   -1.255   -0.970    0.252    8.702   -0.608  707.256     68.9   9716.3   8670.6    256.9   42.6975031  39.9473662 0 00:16:05.960
   2465  965.980  -10.35  -41.63   10.59   27.47    8.84   602.61  123.21  119.61   -0.43    1.82635   -5.22290   -3.15714  357.78861   -0.71305   -2.064    4.243    0.013   -3.286   -1.240   -0.967    0.239    8.700   -0.602  707.257     69.0   9716.3   8666.9    248.1   42.6975092  39.9473665 0 00:16:05.980
   2466  966.000  -10.35  -41.63   10.59   27.47    8.84   602.60  123.25  119.65   -0.45    1.79991   -5.28975   -3.17413  357.81052   -0.75058   -2.043    4.195    0.013   -3.223   -1.226   -0.965    0.248    8.702   -0.625  707.257     69.0   9716.3   8670.7    254.6   42.6975154  39.9473668 0 00:16:06.000
   2467  966.020  -10.35  -41.63   10.59   27.47    8.84   602.59  123.30  119.70   -0.47    1.77374   -5.35534   -3.19106  357.83294   -0.78800   -2.023    4.147    0.013   -3.159   -1.211   -0.962    0.246    8.706   -0.633  707.258     69.1   9716.3   8674.4    253.6   42.6975215  39.9473672 0 00:16:06.020
   2468  966.040  -10.35  -41.63   10.59   27.47    8.85   602.58  123.34  119.74   -0.49    1.74786   -5.41965   -3.20794  357.85560   -0.82527   -2.002    4.099    0.013   -3.095   -1.196   -0.960    0.244    8.709   -0.641  707.259     69.1   9716.3   8678.0    252.6   42.6975277  39.9473675 0 00:16:06.040
   2469  966.060  -10.35  -41.63   10.59   27.47    8.85   602.57  123.39  119.79   -0.52    1.72225   -5.48267   -3.22477  357.87850   -0.86239   -1.982    4.051    0.013   -3.031   -1.181   -0.957    0.242    8.713   -0.649  707.260     69.2   9716.3   8681.6    251.7   42.6975338  39.9473678 0 00:16:06.060
   2470  966.080  -10.35  -41.63   10.59   27.47    8.85   602.56  123.44  119.83   -0.54    1.69694   -5.54440   -3.24155  357.90163   -0.89936   -1.962    4.003    0.013   -2.966   -1.166   -0.954    0.240    8.717   -0.657  707.261     69.2   9716.3   8685.3    250.7   42.6975400  39.9473681 0 00:16:06.080
   2471  966.100  -11.73  -43.97   10.02   27.46    8.85   602.55  123.48  119.88   -0.56    1.67191   -5.60482   -3.25827  357.92498   -0.93618   -1.943    3.955    0.013   -2.899   -1.150   -0.951    0.227    8.720   -0.651  707.262     69.3   9716.3   8686.5    242.5   42.6975462  39.9473684 0 00:16:06.100
   2472  966.120  -11.73  -43.97   10.02   27.46    8.86   602.54  123.53  119.92   -0.58    1.64719   -5.66389   -3.27493  357.94832   -0.97290   -1.923    3.907    0.013   -2.834   -1.135   -0.948    0.236    8.722   -0.672  707.263     69.4   9716.3   8690.1    248.9   42.6975523  39.9473687 0 00:16:06.120
   2473  966.140  -11.73  -43.97   10.02   27.46    8.86   602.52  123.57  119.96   -0.60    1.62277   -5.72163   -3.29153  357.97211   -1.00951   -1.904    3.859    0.013   -2.768   -1.119   -0.944    0.233    8.725   -0.680  707.264     69.4   9716.3   8693.6    248.0   42.6975585  39.9473690 0 00:16:06.140
   2474  966.160  -11.73  -43.97   10.02   27.46    8.86   602.51  123.62  120.01   -0.63    1.59865   -5.77805   -3.30807  357.99612   -1.04597   -1.886    3.811    0.013   -2.702   -1.103   -0.941    0.231    8.729   -0.687  707.265     69.5   9716.3   8697.2    247.1   42.6975647  39.9473693 0 00:16:06.160
   2475  966.180  -11.73  -43.97   10.02   27.46    8.87   602.50  123.67  120.06   -0.65    1.57483   -5.83313   -3.32456  358.02033   -1.08229   -1.867    3.763    0.013   -2.635   -1.088   -0.938    0.229    8.732   -0.694  707.266     69.5   9716.3   8700.9    246.3   42.6975708  39.9473696 0 00:16:06.180
   2476  966.200  -12.93  -46.23    9.49   27.46    8.87   602.49  123.71  120.10   -0.67    1.55131   -5.88687   -3.34098  358.04474   -1.11845   -1.849    3.715    0.013   -2.567   -1.071   -0.934    0.217    8.739   -0.689  707.267     69.6   9716.3   8706.1    238.9   42.6975770  39.9473699 0 00:16:06.200
   2477  966.220  -12.93  -46.23    9.49   27.46    8.88   602.47  123.76  120.15   -0.69    1.52812   -5.93922   -3.35734  358.06915   -1.15439   -1.831    3.667    0.013   -2.499   -1.055   -0.930    0.225    8.741   -0.708  707.268     69.6   9716.3   8709.6    244.8   42.6975832  39.9473702 0 00:16:06.220
   2478  966.240  -12.93  -46.23    9.49   27.46    8.88   602.46  123.81  120.19   -0.71    1.50524   -5.99022   -3.37363  358.09396   -1.19021   -1.813    3.620    0.013   -2.432   -1.039   -0.926    0.223    8.745   -0.715  707.269     69.7   9716.2   8713.2    244.0   42.6975894  39.9473705 0 00:16:06.240
   2479  966.260  -12.93  -46.23    9.49   27.46    8.88   602.44  123.85  120.24   -0.74    1.48268   -6.03985   -3.38986  358.11895   -1.22588   -1.796    3.572    0.013   -2.364   -1.023   -0.922    0.220    8.748   -0.721  707.270     69.7   9716.2   8716.7    243.2   42.6975956  39.9473707 0 00:16:06.260
   2480  966.280  -12.93  -46.23    9.49   27.46    8.89   602.43  123.90  120.28   -0.76    1.46043   -6.08811   -3.40602  358.14412   -1.26142   -1.779    3.524    0.013   -2.296   -1.007   -0.918    0.218    8.752   -0.727  707.272     69.8   9716.2   8720.2    242.5   42.6976018  39.9473710 0 00:16:06.280
   2481  966.300  -12.93  -46.23    9.49   27.46    8.89   602.41  123.95  120.33   -0.78    1.43850   -6.13499   -3.42211  358.16947   -1.29680   -1.762    3.476    0.013   -2.228   -0.990   -0.913    0.216    8.756   -0.733  707.273     69.8   9716.2   8723.7    241.7   42.6976079  39.9473713 0 00:16:06.300
   2482  966.320  -13.97  -48.47    8.99   27.49    8.90   602.40  124.00  120.38   -0.80    1.41690   -6.18047   -3.43814  358.19481   -1.33191   -1.745    3.429    0.013   -2.157   -0.973   -0.909    0.214    8.766   -0.740  707.274     69.9   9716.2   8733.5    241.4   42.6976141  39.9473715 0 00:16:06.320
   2483  966.340  -13.97  -48.47    8.99   27.49    8.90   602.38  124.04  120.42   -0.82    1.39563   -6.22456   -3.45409  358.22052   -1.36680   -1.729    3.382    0.013   -2.089   -0.957   -0.904    0.211    8.769   -0.746  707.276     69.9   9716.2   8737.0    240.7   42.6976203  39.9473718 0 00:16:06.340
   2484  966.360  -13.97  -48.47    8.99   27.49    8.91   602.36  124.09  120.47   -0.84    1.37469   -6.26725   -3.46997  358.24638   -1.40155   -1.712    3.334    0.013   -2.020   -0.940   -0.900    0.209    8.773   -0.751  707.277     70.0   9716.2   8740.4    240.0   42.6976265  39.9473721 0 00:16:06.360
   2485  966.380  -13.97  -48.47    8.99   27.49    8.91   602.35  124.14  120.51   -0.86    1.35408   -6.30854   -3.48578  358.27240   -1.43615   -1.696    3.287    0.013   -1.950   -0.923   -0.895    0.206    8.776   -0.757  707.279     70.0   9716.2   8743.8    239.3   42.6976327  39.9473723 0 00:16:06.380
   2486  966.400  -13.97  -48.47    8.99   27.49    8.91   602.33  124.19  120.56   -0.89    1.33381   -6.34844   -3.50152  358.29856   -1.47062   -1.681    3.240    0.013   -1.881   -0.906   -0.890    0.204    8.779   -0.762  707.280     70.1   9716.2   8747.1    238.7   42.6976389  39.9473726 0 00:16:06.400
   2487  966.420  -14.85  -50.69    8.52   27.53    8.93   602.31  124.24  120.61   -0.91    1.31387   -6.38692   -3.51719  358.32487   -1.50495   -1.665    3.193    0.013   -1.810   -0.889   -0.885    0.192    8.795   -0.758  707.282     70.1   9716.2   8761.4    232.7   42.6976451  39.9473728 0 00:16:06.420
   2488  966.440  -14.85  -50.69    8.52   27.53    8.93   602.29  124.28  120.65   -0.93    1.29427   -6.42397   -3.53277  358.35118   -1.53874   -1.650    3.146    0.013   -1.740   -0.872   -0.880    0.200    8.797   -0.773  707.283     70.2   9716.2   8764.7    238.1   42.6976513  39.9473731 0 00:16:06.440
   2489  966.460  -14.85  -50.69    8.52   27.53    8.93   602.27  124.33  120.70   -0.95    1.27502   -6.45961   -3.54828  358.37780   -1.57242   -1.635    3.100    0.013   -1.670   -0.855   -0.874    0.197    8.801   -0.778  707.285     70.3   9716.2   8768.1    237.5   42.6976575  39.9473733 0 00:16:06.460
   2490  966.480  -14.85  -50.69    8.52   27.53    8.94   602.25  124.38  120.75   -0.97    1.25611   -6.49383   -3.56370  358.40454   -1.60597   -1.621    3.053    0.013   -1.600   -0.838   -0.869    0.195    8.804   -0.782  707.287     70.3   9716.2   8771.4    236.9   42.6976637  39.9473735 0 00:16:06.480
   2491  966.500  -14.85  -50.69    8.52   27.53    8.94   602.23  124.43  120.79   -0.99    1.23754   -6.52663   -3.57905  358.43140   -1.63937   -1.606    3.007    0.013   -1.529   -0.821   -0.863    0.192    8.808   -0.786  707.288     70.4   9716.2   8774.8    236.3   42.6976699  39.9473738 0 00:16:06.500
   2492  966.520  -14.85  -50.69    8.52   27.53    8.94   602.21  124.48  120.84   -1.01    1.21931   -6.55800   -3.59432  358.45837   -1.67264   -1.592    2.961    0.013   -1.459   -0.804   -0.858    0.190    8.811   -0.791  707.290     70.4   9716.2   8778.1    235.7   42.6976762  39.9473740 0 00:16:06.520
   2493  966.540  -15.55  -52.89    8.08   27.59    8.96   602.19  124.53  120.89   -1.03    1.20144   -6.58794   -3.60950  358.48533   -1.70548   -1.578    2.915    0.013   -1.387   -0.786   -0.852    0.188    8.830   -0.796  707.292     70.5   9716.2   8796.8    236.2   42.6976824  39.9473742 0 00:16:06.540
   2494  966.560  -15.55  -52.89    8.08   27.59    8.96   602.17  124.57  120.94   -1.05    1.18392   -6.61644   -3.62460  358.51258   -1.73796   -1.564    2.869    0.013   -1.317   -0.769   -0.846    0.186    8.833   -0.800  707.293     70.5   9716.2   8800.0    235.6   42.6976886  39.9473745 0 00:16:06.560
   2495  966.580  -15.55  -52.89    8.08   27.59    8.97   602.15  124.62  120.98   -1.07    1.16676   -6.64351   -3.63961  358.53992   -1.77031   -1.551    2.824    0.013   -1.246   -0.751   -0.840    0.183    8.837   -0.804  707.295     70.6   9716.2   8803.1    235.1   42.6976948  39.9473747 0 00:16:06.580
   2496  966.600  -15.55  -52.89    8.08   27.59    8.97   602.13  124.67  121.03   -1.09    1.14994   -6.66915   -3.65454  358.56735   -1.80252   -1.538    2.779    0.013   -1.175   -0.734   -0.834    0.181    8.840   -0.807  707.297     70.6   9716.2   8806.4    234.7   42.6977010  39.9473749 0 00:16:06.600
   2497  966.620  -15.55  -52.89    8.08   27.59    8.97   602.11  124.72  121.08   -1.11    1.13348   -6.69336   -3.66938  358.59487   -1.83459   -1.525    2.734    0.013   -1.105   -0.716   -0.828    0.178    8.843   -0.810  707.299     70.7   9716.2   8809.5    234.2   42.6977073  39.9473751 0 00:16:06.620
   2498  966.640  -16.09  -55.04    7.68   27.67    9.00   602.09  124.77  121.13   -1.13    1.11738   -6.71613   -3.68413  358.62247   -1.86653   -1.512    2.689    0.013   -1.033   -0.698   -0.821    0.167    8.868   -0.808  707.301     70.8   9716.2   8832.6    229.8   42.6977135  39.9473753 0 00:16:06.640
   2499  966.660  -16.09  -55.04    7.68   27.67    9.00   602.06  124.82  121.18   -1.15    1.10164   -6.73744   -3.69879  358.65009   -1.89764   -1.499    2.644    0.013   -0.962   -0.681   -0.815    0.174    8.870   -0.819  707.303     70.8   9716.2   8835.7    234.5   42.6977197  39.9473755 0 00:16:06.660
   2500  966.680  -16.09  -55.04    7.68   27.67    9.00   602.04  124.87  121.22   -1.17    1.08626   -6.75733   -3.71335  358.67791   -1.92866   -1.487    2.600    0.013   -0.891   -0.663   -0.808    0.171    8.873   -0.822  707.305     70.9   9716.2   8838.8    234.1   42.6977260  39.9473757 0 00:16:06.680
   2501  966.700  -16.09  -55.04    7.68   27.67    9.01   602.02  124.92  121.27   -1.19    1.07123   -6.77577   -3.72783  358.70580   -1.95954   -1.475    2.556    0.013   -0.820   -0.646   -0.802    0.169    8.877   -0.824  707.307     70.9   9716.2   8841.9    233.7   42.6977322  39.9473759 0 00:16:06.700
   2502  966.720  -16.09  -55.04    7.68   27.67    9.01   601.99  124.97  121.32   -1.21    1.05657   -6.79278   -3.74220  358.73373   -1.99028   -1.463    2.512    0.013   -0.750   -0.628   -0.795    0.166    8.880   -0.826  707.309     71.0   9716.1   8844.9    233.3   42.6977384  39.9473761 0 00:16:06.720
   2503  966.740  -16.09  -55.04    7.68   27.67    9.01   601.97  125.02  121.37   -1.22    1.04227   -6.80835   -3.75648  358.76172   -2.02090   -1.452    2.469    0.013   -0.679   -0.611   -0.788    0.164    8.883   -0.829  707.311     71.0   9716.1   8848.0    233.0   42.6977447  39.9473763 0 00:16:06.740
   2504  966.760  -16.45  -57.16    7.32   27.77    9.04   601.94  125.07  121.42   -1.24    1.02834   -6.82248   -3.77066  358.78970   -2.05096   -1.440    2.425    0.013   -0.607   -0.593   -0.781    0.163    8.911   -0.834  707.313     71.1   9716.1   8875.4    234.1   42.6977509  39.9473765 0 00:16:06.760
   2505  966.780  -16.45  -57.16    7.32   27.77    9.04   601.92  125.12  121.47   -1.26    1.01477   -6.83517   -3.78475  358.81788   -2.08050   -1.429    2.382    0.013   -0.537   -0.575   -0.774    0.160    8.914   -0.835  707.315     71.2   9716.1   8878.4    233.8   42.6977572  39.9473766 0 00:16:06.780
   2506  966.800  -16.45  -57.16    7.32   27.77    9.05   601.89  125.17  121.52   -1.28    1.00157   -6.84643   -3.79873  358.84608   -2.10992   -1.418    2.340    0.013   -0.466   -0.558   -0.767    0.157    8.917   -0.837  707.317     71.2   9716.1   8881.3    233.5   42.6977634  39.9473768 0 00:16:06.800
   2507  966.820  -16.45  -57.16    7.32   27.77    9.05   601.87  125.22  121.57   -1.30    0.98873   -6.85625   -3.81260  358.87432   -2.13921   -1.408    2.297    0.013   -0.396   -0.540   -0.760    0.155    8.921   -0.838  707.320     71.3   9716.1   8884.2    233.2   42.6977697  39.9473770 0 00:16:06.820
   2508  966.840  -16.45  -57.16    7.32   27.77    9.05   601.84  125.27  121.62   -1.32    0.97626   -6.86464   -3.82638  358.90258   -2.16837   -1.397    2.255    0.013   -0.325   -0.522   -0.753    0.152    8.924   -0.840  707.322     71.3   9716.1   8887.1    232.9   42.6977759  39.9473771 0 00:16:06.840
   2509  966.860  -16.62  -59.23    7.00   27.89    9.09   601.81  125.32  121.66   -1.33    0.96416   -6.87160   -3.84005  358.93085   -2.19740   -1.386    2.214    0.013   -0.254   -0.504   -0.745    0.141    8.957   -0.839  707.324     71.4   9716.1   8918.7    230.3   42.6977822  39.9473773 0 00:16:06.860
   2510  966.880  -16.62  -59.23    7.00   27.89    9.09   601.79  125.37  121.71   -1.35    0.95243   -6.87713   -3.85361  358.95917   -2.22534   -1.377    2.172    0.013   -0.184   -0.487   -0.738    0.148    8.959   -0.845  707.326     71.4   9716.1   8921.5    234.2   42.6977884  39.9473775 0 00:16:06.880
   2511  966.900  -16.62  -59.23    7.00   27.89    9.09   601.76  125.42  121.76   -1.37    0.94106   -6.88123   -3.86706  358.98758   -2.25318   -1.367    2.131    0.013   -0.114   -0.469   -0.730    0.146    8.962   -0.846  707.329     71.5   9716.1   8924.3    234.0   42.6977947  39.9473776 0 00:16:06.900
   2512  966.920  -16.62  -59.23    7.00   27.89    9.10   601.73  125.48  121.81   -1.39    0.93007   -6.88391   -3.88040  359.01598   -2.28089   -1.357    2.090    0.013   -0.044   -0.451   -0.722    0.143    8.965   -0.847  707.331     71.6   9716.1   8927.1    233.8   42.6978010  39.9473778 0 00:16:06.920
   2513  966.940  -16.62  -59.23    7.00   27.89    9.10   601.70  125.53  121.86   -1.40    0.91944   -6.88517   -3.89363  359.04438   -2.30848   -1.348    2.050    0.013    0.025   -0.434   -0.715    0.140    8.968   -0.847  707.333     71.6   9716.1   8929.9    233.6   42.6978072  39.9473779 0 00:16:06.940
   2514  966.960  -16.62  -59.23    7.00   27.89    9.10   601.67  125.58  121.91   -1.42    0.90918   -6.88501   -3.90675  359.07277   -2.33594   -1.338    2.010    0.013    0.095   -0.416   -0.707    0.138    8.971   -0.847  707.336     71.7   9716.1   8932.7    233.4   42.6978135  39.9473780 0 00:16:06.960
   2515  966.980  -16.63  -61.25    6.72   28.02    9.14   601.65  125.63  121.96   -1.44    0.89929   -6.88344   -3.91975  359.10114   -2.36271   -1.329    1.970    0.013    0.164   -0.398   -0.698    0.137    9.008   -0.851  707.338     71.7   9716.1   8968.5    235.3   42.6978198  39.9473782 0 00:16:06.980
   2516  967.000  -16.63  -61.25    6.72   28.02    9.14   601.62  125.68  122.01   -1.45    0.88977   -6.88046   -3.93264  359.12963   -2.38884   -1.321    1.931    0.013    0.233   -0.381   -0.690    0.135    9.011   -0.851  707.341     71.8   9716.1   8971.1    235.1   42.6978260  39.9473783 0 00:16:07.000
   2517  967.020  -16.63  -61.25    6.72   28.02    9.14   601.59  125.73  122.06   -1.47    0.88062   -6.87607   -3.94541  359.15808   -2.41485   -1.312    1.892    0.013    0.302   -0.364   -0.682    0.132    9.014   -0.851  707.343     71.9   9716.1   8973.7    235.0   42.6978323  39.9473784 0 00:16:07.020
   2518  967.040  -16.63  -61.25    6.72   28.02    9.15   601.56  125.78  122.11   -1.49    0.87184   -6.87028   -3.95805  359.18649   -2.44074   -1.304    1.853    0.013    0.371   -0.346   -0.674    0.129    9.017   -0.850  707.346     71.9   9716.1   8976.4    235.0   42.6978386  39.9473786 0 00:16:07.040
   2519  967.060  -16.63  -61.25    6.72   28.02    9.15   601.53  125.84  122.16   -1.50    0.86343   -6.86310   -3.97058  359.21487   -2.46651   -1.295    1.815    0.013    0.439   -0.329   -0.666    0.127    9.020   -0.849  707.348     72.0   9716.1   8979.0    234.9   42.6978449  39.9473787 0 00:16:07.060
   2520  967.080  -16.45  -63.21    6.49   28.17    9.19   601.50  125.89  122.22   -1.52    0.85538   -6.85453   -3.98298  359.24320   -2.49215   -1.287    1.777    0.013    0.508   -0.311   -0.657    0.117    9.061   -0.851  707.351     72.0   9716.1   9018.7    234.1   42.6978511  39.9473788 0 00:16:07.080
   2521  967.100  -16.45  -63.21    6.49   28.17    9.19   601.47  125.94  122.27   -1.54    0.84771   -6.84457   -3.99526  359.27159   -2.51645   -1.280    1.739    0.013    0.576   -0.294   -0.649    0.124    9.063   -0.852  707.353     72.1   9716.1   9021.2    237.0   42.6978574  39.9473789 0 00:16:07.100
   2522  967.120  -16.45  -63.21    6.49   28.17    9.20   601.44  125.99  122.32   -1.55    0.84041   -6.83323   -4.00741  359.29996   -2.54065   -1.272    1.702    0.013    0.643   -0.276   -0.640    0.121    9.066   -0.851  707.356     72.2   9716.1   9023.7    237.0   42.6978637  39.9473790 0 00:16:07.120
   2523  967.140  -16.45  -63.21    6.49   28.17    9.20   601.40  126.05  122.37   -1.57    0.83347   -6.82052   -4.01943  359.32826   -2.56473   -1.265    1.666    0.013    0.710   -0.259   -0.632    0.119    9.069   -0.849  707.359     72.2   9716.1   9026.1    237.0   42.6978700  39.9473791 0 00:16:07.140
   2524  967.160  -16.45  -63.21    6.49   28.17    9.20   601.37  126.10  122.42   -1.58    0.82690   -6.80643   -4.03133  359.35650   -2.58870   -1.258    1.629    0.013    0.777   -0.242   -0.623    0.116    9.072   -0.848  707.361     72.3   9716.1   9028.5    237.0   42.6978763  39.9473792 0 00:16:07.160
   2525  967.180  -16.45  -63.21    6.49   28.17    9.20   601.34  126.15  122.47   -1.60    0.82069   -6.79099   -4.04309  359.38466   -2.61255   -1.250    1.594    0.013    0.844   -0.225   -0.614    0.113    9.075   -0.846  707.364     72.3   9716.1   9031.0    237.1   42.6978826  39.9473793 0 00:16:07.180
   2526  967.200  -16.11  -65.12    6.29   28.33    9.25   601.31  126.20  122.52   -1.61    0.81485   -6.77418   -4.05472  359.41281   -2.63560   -1.243    1.558    0.013    0.910   -0.208   -0.605    0.113    9.119   -0.849  707.367     72.4   9716.1   9074.7    239.6   42.6978889  39.9473794 0 00:16:07.200
   2527  967.220  -16.11  -65.12    6.29   28.33    9.25   601.28  126.26  122.57   -1.63    0.80938   -6.75603   -4.06621  359.44097   -2.65787   -1.237    1.523    0.013    0.976   -0.191   -0.596    0.111    9.122   -0.847  707.370     72.5   9716.0   9077.0    239.7   42.6978952  39.9473795 0 00:16:07.220
   2528  967.240  -16.11  -65.12    6.29   28.33    9.25   601.24  126.31  122.63   -1.64    0.80427   -6.73654   -4.07757  359.46904   -2.68004   -1.231    1.488    0.013    1.042   -0.174   -0.587    0.108    9.124   -0.844  707.372     72.5   9716.0   9079.2    239.8   42.6979015  39.9473796 0 00:16:07.240
   2529  967.260  -16.11  -65.12    6.29   28.33    9.26   601.21  126.36  122.68   -1.65    0.79952   -6.71571   -4.08879  359.49702   -2.70210   -1.224    1.454    0.013    1.107   -0.157   -0.578    0.106    9.127   -0.842  707.375     72.6   9716.0   9081.4    239.9   42.6979078  39.9473797 0 00:16:07.260
   2530  967.280  -16.11  -65.12    6.29   28.33    9.26   601.18  126.42  122.73   -1.67    0.79513   -6.69356   -4.09986  359.52489   -2.72404   -1.218    1.420    0.013    1.172   -0.140   -0.569    0.103    9.130   -0.839  707.378     72.6   9716.0   9083.8    240.0   42.6979141  39.9473797 0 00:16:07.280
   2531  967.300  -15.59  -66.95    6.15   28.51    9.31   601.14  126.47  122.78   -1.68    0.79110   -6.67008   -4.11080  359.55265   -2.74588   -1.211    1.387    0.013    1.236   -0.123   -0.559    0.095    9.178   -0.842  707.381     72.7   9716.0   9130.9    240.9   42.6979204  39.9473798 0 00:16:07.300
   2532  967.320  -15.59  -66.95    6.15   28.51    9.31   601.11  126.52  122.83   -1.70    0.78744   -6.64530   -4.12159  359.58049   -2.76613   -1.206    1.354    0.013    1.300   -0.107   -0.550    0.101    9.180   -0.839  707.384     72.8   9716.0   9133.1    243.0   42.6979267  39.9473799 0 00:16:07.320
   2533  967.340  -15.59  -66.95    6.15   28.51    9.31   601.08  126.58  122.88   -1.71    0.78413   -6.61921   -4.13224  359.60819   -2.78629   -1.201    1.322    0.013    1.364   -0.090   -0.541    0.098    9.183   -0.835  707.387     72.8   9716.0   9135.1    243.1   42.6979331  39.9473799 0 00:16:07.340
   2534  967.360  -15.59  -66.95    6.15   28.51    9.32   601.04  126.63  122.94   -1.72    0.78118   -6.59182   -4.14274  359.63578   -2.80634   -1.196    1.290    0.013    1.427   -0.073   -0.531    0.096    9.186   -0.832  707.390     72.9   9716.0   9137.2    243.3   42.6979394  39.9473800 0 00:16:07.360
   2535  967.380  -15.59  -66.95    6.15   28.51    9.32   601.01  126.68  122.99   -1.73    0.77858   -6.56315   -4.15309  359.66323   -2.82630   -1.190    1.258    0.013    1.490   -0.057   -0.522    0.094    9.188   -0.828  707.393     72.9   9716.0   9139.4    243.6   42.6979457  39.9473800 0 00:16:07.380
   2536  967.400  -14.95  -68.68    6.04   28.70    9.37   600.97  126.74  123.04   -1.75    0.77634   -6.53320   -4.16329  359.69055   -2.84614   -1.185    1.227    0.013    1.552   -0.041   -0.512    0.086    9.240   -0.832  707.395     73.0   9716.0   9189.7    245.3   42.6979520  39.9473801 0 00:16:07.400
   2537  967.420  -14.95  -68.68    6.04   28.70    9.37   600.94  126.79  123.09   -1.76    0.77445   -6.50198   -4.17333  359.71795   -2.86430   -1.181    1.197    0.013    1.614   -0.024   -0.502    0.092    9.242   -0.827  707.398     73.1   9716.0   9191.7    246.9   42.6979583  39.9473801 0 00:16:07.420
